playlist_id,track_id,pos
7,12493,0
7,17495,1
7,13424,2
7,7109,3
7,14714,4
7,15650,5
7,15740,7
7,159,8
7,19243,9
7,17920,10
7,6620,11
7,1063,12
7,13808,13
7,20023,14
7,5893,15
7,3483,16
7,1775,17
7,7660,19
7,7478,20
7,5649,21
7,1461,23
7,18190,24
7,2494,25
7,16890,26
7,2204,29
7,12393,30
7,18418,31
7,13640,32
7,8869,37
7,13359,38
7,15296,39
7,17114,42
7,3767,43
7,5668,44
7,15640,50
25,13805,3
25,7035,4
25,2336,5
25,16663,6
25,4720,7
25,19967,8
25,12384,9
25,14635,13
25,11112,14
25,5630,16
25,19390,17
25,20500,18
25,460,19
25,0,20
25,13637,22
25,4910,24
25,89,25
29,17056,0
29,16912,2
29,14907,3
29,4148,4
29,15430,5
29,4543,6
29,16387,7
29,20366,8
29,17200,9
29,4366,10
29,19814,11
29,8356,12
29,2472,13
29,8169,14
29,4743,15
29,11258,16
29,4916,17
29,7645,18
29,9003,19
29,6606,20
29,18669,21
29,18904,22
29,13364,23
34,16759,-1
34,9266,0
34,13302,1
34,18536,2
34,8248,6
34,523,7
34,11656,9
34,14694,12
34,9458,13
34,15865,14
34,7185,15
34,4925,17
34,16765,18
34,13446,19
34,5263,20
34,16563,21
34,19296,23
34,8456,24
34,10001,25
34,15527,28
34,13518,31
34,9198,32
34,1553,33
34,17371,36
34,3753,38
34,6707,43
34,19541,44
34,10992,46
34,18661,47
34,14579,50
50,14417,0
50,19813,2
50,5281,5
50,6245,9
50,2388,13
50,13452,15
50,153,16
50,18159,17
50,412,21
50,10496,24
50,13757,28
52,9645,1
52,18763,2
52,2090,4
52,4184,7
52,14258,8
52,1232,9
52,10930,10
52,9530,11
52,16970,12
52,4812,13
52,18059,14
52,7131,15
52,9436,18
52,8885,20
52,6529,21
52,14345,22
52,1710,26
52,16297,27
52,3129,28
52,20365,29
60,18377,2
60,4757,3
60,4640,5
60,14671,8
60,20491,9
60,12550,12
60,3855,16
60,3750,17
60,10682,18
60,12972,19
60,6098,21
64,2595,0
64,16869,2
64,3287,5
64,16815,9
64,14358,10
64,15622,11
64,3646,15
64,11676,27
64,7341,28
64,3564,37
64,4271,39
64,519,42
64,20143,46
64,672,47
64,10746,49
77,12393,0
77,11483,1
77,17114,3
77,12910,4
77,10833,5
77,10137,6
77,308,7
77,7989,8
77,16385,9
77,1063,10
77,19243,11
77,18191,12
77,4492,13
77,5649,14
77,15908,15
77,16673,17
77,10013,19
77,17239,20
77,12599,21
77,17826,22
77,15770,23
77,13640,24
77,1023,25
77,19926,26
77,14796,27
77,14732,28
77,603,30
77,18804,31
77,11886,32
77,15935,33
77,4189,34
77,9337,35
77,12943,36
77,18090,37
77,10834,38
77,10496,39
77,17524,40
80,9168,-1
80,13987,-1
80,10454,0
80,17438,2
80,6465,3
80,19399,4
80,11063,5
80,15327,6
80,5683,7
80,3503,8
80,9067,9
80,9086,13
80,12173,15
80,17764,16
80,10841,17
80,6283,18
80,15312,19
80,16585,21
80,9060,22
80,13358,23
80,9961,25
80,18289,28
80,6,30
106,4482,1
106,15259,2
106,20197,3
106,2272,4
106,13216,5
106,16454,6
106,6214,7
106,12488,8
106,19009,9
106,20359,10
106,6489,14
106,11369,15
106,13595,16
106,260,17
138,9834,0
138,12766,1
138,17283,2
138,15704,5
138,11789,6
138,20501,7
138,8971,8
138,8474,9
138,18055,10
138,9619,11
138,1860,12
138,8031,13
138,7173,15
138,5012,16
138,12897,18
138,20380,19
138,4370,20
138,20533,21
138,20170,22
138,663,23
138,9499,24
138,4683,25
138,14147,26
138,9486,29
138,6575,30
138,17062,35
138,17081,36
138,3831,37
138,8922,39
138,19154,40
138,20238,43
138,12600,45
138,13063,48
138,9940,49
138,13107,50
138,16058,51
138,14262,53
138,14631,55
138,13939,56
138,19969,57
138,11688,58
138,11503,59
138,15455,60
138,14755,61
138,20223,62
138,8079,63
138,12175,66
138,10584,69
143,8145,0
143,7817,2
143,3074,3
143,7751,7
143,3965,10
143,18428,13
143,4288,14
143,10024,15
143,5141,16
143,10711,17
143,1189,18
143,4949,19
143,16502,20
143,3976,22
143,20515,23
143,7479,24
143,11502,25
143,12488,26
143,19377,27
143,10848,28
143,411,30
143,12651,31
143,2497,33
143,6254,34
143,17762,36
143,14338,37
143,8852,38
143,14322,39
143,2919,43
143,5622,45
143,315,50
143,20548,55
143,10922,57
143,15771,58
143,16182,59
143,2243,60
143,2705,63
143,9942,64
143,3109,66
143,13256,67
143,18600,69
143,225,71
143,460,73
143,15869,74
143,19164,75
149,19662,2
149,13237,3
149,8560,4
149,8956,5
149,14395,6
149,8229,7
149,4444,8
149,4460,9
149,12563,10
149,17597,11
149,16236,12
149,6294,13
149,4809,15
149,16517,16
149,6981,17
149,15578,19
149,6000,22
149,7796,27
149,8066,29
169,8500,-1
169,15159,2
169,16311,4
169,1012,5
169,11635,8
169,10238,9
169,12929,10
169,11547,12
169,5971,14
169,19776,15
169,13592,16
180,8437,0
180,14659,2
180,1951,3
180,9440,4
180,20408,5
180,19878,6
180,7577,7
180,17715,8
180,15558,9
180,11070,10
180,18074,11
180,20461,12
180,3093,14
180,15935,16
180,11963,18
180,17226,20
180,17947,21
180,11740,22
180,2980,23
180,5881,24
180,4910,25
180,13833,26
180,16862,27
180,797,28
180,10269,29
180,8866,30
180,15542,31
180,1163,32
180,17568,34
180,5576,35
180,13368,36
180,7150,37
180,8749,39
180,14826,40
180,6823,41
180,12765,43
180,13624,44
180,17309,45
180,13435,46
180,10833,49
180,4321,51
180,3129,52
180,1473,55
180,11842,56
210,2132,0
210,2980,1
210,5023,3
210,10691,4
210,9623,5
210,9457,7
210,9804,8
210,13622,9
210,14255,11
210,10339,12
210,18875,13
210,16331,14
231,12769,0
231,12688,1
231,19890,2
231,10491,3
231,15447,6
231,14193,7
231,4089,8
231,7039,9
231,17897,10
231,19169,13
231,16930,14
231,17309,15
231,17586,17
231,12783,18
231,20167,19
231,6664,21
241,1580,0
241,4510,1
241,688,3
241,15781,4
241,1900,5
241,5739,6
241,4839,7
241,1056,8
241,14295,9
241,11956,10
241,2175,11
241,10013,12
241,5881,13
241,11614,14
241,15511,16
241,13622,17
241,1020,18
241,10139,19
241,10742,20
241,12721,22
241,4834,25
241,5630,26
241,1656,27
241,7077,28
241,14378,29
241,1587,30
241,16866,31
241,3551,32
244,13980,0
244,573,1
244,1746,2
244,5903,3
244,14527,5
244,2439,6
244,11490,7
244,12923,8
244,12298,11
244,17174,12
244,11366,13
244,3729,14
244,19628,16
244,12261,17
244,7765,18
244,8956,19
244,6253,20
244,13101,21
244,18637,22
244,5224,25
244,7009,28
244,5881,30
244,15373,31
244,14591,32
244,3885,33
244,18381,34
244,9105,35
244,18649,36
256,4451,0
256,8218,2
256,8415,4
256,7544,5
256,2730,6
256,11489,8
256,1944,9
256,8725,10
256,1949,11
256,20544,18
256,8932,21
256,13819,26
256,8355,28
256,18475,32
256,12972,33
256,9900,39
256,3445,41
258,18728,0
258,20018,1
258,15570,3
258,2511,5
258,13237,6
258,11119,7
258,8956,8
258,5903,9
258,13980,10
258,3729,14
258,1534,15
258,18637,16
258,17096,17
258,5881,18
258,15670,20
258,3539,21
258,19734,23
265,15640,-1
265,6589,-1
265,7421,-1
265,11877,-1
265,18262,1
265,7025,2
265,2665,5
265,19364,7
265,7748,18
265,15617,21
265,12610,22
265,12618,23
265,7515,24
265,9259,27
265,2008,29
265,9457,33
265,1290,34
265,10074,35
265,7324,36
265,2867,44
268,4916,-1
268,7197,-1
268,16114,1
268,9037,2
268,16718,4
268,18336,5
268,2399,6
268,4111,7
268,1247,8
268,13803,9
268,2577,10
268,16546,11
268,14154,12
268,1569,13
268,3950,14
268,18580,15
268,8440,16
268,9791,18
268,14243,19
268,12460,20
268,16366,21
268,14867,22
268,14790,23
268,16708,25
268,18040,27
268,1253,28
268,1898,30
268,20369,31
268,17586,33
268,4109,46
268,15684,47
268,15006,48
268,6842,53
268,4147,54
268,11214,70
268,16008,71
268,19802,72
268,6453,73
268,18669,74
268,12373,77
268,14289,78
268,3009,79
268,12075,80
268,13862,82
268,9229,83
268,17112,85
271,4016,0
271,2665,1
271,10852,2
271,13972,3
271,16024,4
271,13865,5
271,1039,6
271,913,7
271,8618,8
271,19770,10
271,9211,13
271,9579,15
271,19628,16
271,1779,18
271,9804,21
271,387,22
271,3938,23
271,5042,24
271,16173,27
271,3207,28
271,12906,30
271,11076,32
271,16674,33
271,17944,35
271,16002,36
271,14904,37
271,5612,38
271,6085,39
271,16331,40
271,5751,41
271,13622,44
271,4745,45
272,4070,0
272,9246,1
272,3242,3
272,19973,5
272,209,6
272,10442,7
272,13347,8
272,12760,9
275,20321,-1
275,16820,0
275,11850,1
275,14777,2
275,18649,4
275,19422,8
275,3885,9
275,573,10
275,1746,11
275,11070,12
275,15078,13
275,16249,15
275,7854,16
275,13139,17
275,2412,18
275,2037,20
275,18381,21
275,4795,22
277,20461,2
